District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bayrampaşa,41.0514523,28.8983046761122,Toyzz Shop,41.04665775314174,28.89771283011354,Toy / Game Store
Bayrampaşa,41.0514523,28.8983046761122,Green Salads,41.0458414785594,28.89638361448601,Salad Place
Bayrampaşa,41.0514523,28.8983046761122,H&M,41.046756855047484,28.89781105332077,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,IKEA,41.04487667320884,28.897960045365018,Furniture / Home Store
Bayrampaşa,41.0514523,28.8983046761122,Kartaltepe Çay Bahçesi,41.05607278883533,28.904111853349086,Garden
Bayrampaşa,41.0514523,28.8983046761122,Midpoint,41.04594499745321,28.896604163833345,Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Tophane,41.050931077472804,28.893788560450375,Café
Bayrampaşa,41.0514523,28.8983046761122,Hacı Şerif,41.04604734031718,28.8979987040932,Dessert Shop
Bayrampaşa,41.0514523,28.8983046761122,WaffleStop,41.04609588323696,28.89773681664643,Snack Place
Bayrampaşa,41.0514523,28.8983046761122,Aqua GYM,41.04638000232741,28.893555162098775,Gym
Bayrampaşa,41.0514523,28.8983046761122,ADO'nun Yeri,41.05445283034144,28.900754789168605,Turkish Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Komşufırın,41.04661127273235,28.89778022405566,Bakery
Bayrampaşa,41.0514523,28.8983046761122,Cinemaximum,41.04565175170054,28.898336072697067,Multiplex
Bayrampaşa,41.0514523,28.8983046761122,IKEA Restaurant & Cafe,41.04496520374571,28.898015274667873,Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Emin DONDURMA,41.04752803258344,28.90498431821386,Ice Cream Shop
Bayrampaşa,41.0514523,28.8983046761122,Atlantis Bowling,41.04605607617799,28.897276018053137,Bowling Alley
Bayrampaşa,41.0514523,28.8983046761122,LunchBox,41.0458802289508,28.89604995508804,Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Mevsim Balık Sofrası,41.048959358227165,28.9066172113466,Restaurant
Bayrampaşa,41.0514523,28.8983046761122,Pull and Bear,41.046415619305535,28.896837072793563,Clothing Store
Bayrampaşa,41.0514523,28.8983046761122,Hacı Bozan Oğulları,41.04645523577898,28.898010557453897,Dessert Shop
Bayrampaşa,41.0514523,28.8983046761122,Dostlar Kıraathanesi,41.05756678567936,28.900944376450937,Tea Room
Bayrampaşa,41.0514523,28.8983046761122,FunLab Eğlence Dünyası,41.04629841451257,28.898084667602323,Arcade
Bayrampaşa,41.0514523,28.8983046761122,Ocak Gıda Pazarlama,41.05349254678203,28.889538958285858,Department Store
